,sector,camera,ccd,column,row,tdb-ut,pixels_per_hour,ra,dec,vmag,hmag,sun_distance,obs_distance,sto_angle,time
0,1751,2,3,1730.399605583856,587.2839582855086,69.18431728910012,6.889315544212096,130.7740315513302,15.975676152363123,16.37342355506325,,3.106215490400048,2.145925313045174,4.577303051693007,4055.511601488795
1,1751,2,3,1730.4072146497479,588.9941515997577,69.18431759432139,6.887861503040776,130.76425492450204,15.977830951202044,16.37383507224291,,3.1065340045520453,2.146182778639865,4.570905412044463,4055.521601488802
2,1751,2,3,1730.4147399999881,590.7038082589978,69.1843179125931,6.886407902684443,130.7544801189684,15.979984417728767,16.374236820463047,,3.106852525171027,2.146440317526356,4.564507524976937,4055.531601488809
3,1751,2,3,1730.422185186682,592.4129299088434,69.18431824084466,6.884954870009705,130.74470713236147,15.982136573556538,16.374631068723637,,3.1071710522843556,2.1466979297009114,4.558109833221351,4055.541601488816
4,1751,2,3,1730.4295537601254,594.1215178746096,69.18431857600544,6.883502532153865,130.73493596413456,15.984287439897601,16.375020085950357,,3.1074895858600637,2.1469556151118208,4.551712780700283,4055.551601488823
5,1751,2,3,1730.4368492715444,595.8295737980388,69.18431891500481,6.88205101598365,130.72516661192125,15.98643703836494,16.37540614114198,,3.1078081259255157,2.147213373755361,4.54531681014473,4055.56160148883
6,1751,2,3,1730.4440752703554,597.5370990008897,69.18431925477208,6.880600448636221,130.71539907517484,15.988585390171005,16.375791503224963,,3.108126672448742,2.147471205579808,4.538922365477107,4055.5716014888376
7,1751,2,3,1730.4512353068958,599.2440951211261,69.18431959223668,6.879150956978472,130.70563335152983,15.990732516928531,16.376178441197734,,3.1084452254571096,2.147729110581454,4.532529889428656,4055.5816014888446
8,1751,2,3,1730.4583329297336,600.9505634768882,69.18431992432792,6.877702668147372,130.69586944044,15.992878439850179,16.376569223986664,,3.108763784918647,2.147987088708561,4.52613982592147,4055.5916014888517
9,1751,2,3,1730.4653716883356,602.6565057023528,69.18432024797522,6.876255709010029,130.68610733954083,15.995023180548426,16.37696612059069,,3.1090823508607217,2.148245139957433,4.519752617687195,4055.6016014888587
10,1751,2,3,1730.4723551304085,604.3619231120987,69.18432056010788,6.874810206703178,130.67634704828637,15.997166760236128,16.37737139993526,,3.1094009232513633,2.148503264276319,4.513368708647432,4055.6116014888657
11,1751,2,3,1730.4792868045558,606.0668173365393,69.18432085765531,6.873366288094183,130.66658856431306,15.999309200525529,16.37778733102065,,3.1097195021179376,2.148761461661538,4.5069885415344055,4055.6216014888723
12,1751,2,3,1730.486170177216,607.7711896908298,69.18432113767477,6.871924074852692,130.6568318869399,16.001450522183468,16.37821610621889,,3.1100380874284745,2.14901973206131,4.500612541796918,4055.631601488879
13,1751,2,3,1730.4930068656736,609.475041902109,69.18432140016556,6.87048356264299,130.64707701055005,16.003590736113004,16.378658157292698,,3.110356679210349,2.149278075471624,4.494240708836544,4055.6416014888855
14,1751,2,3,1730.4997966359329,611.1783754749246,69.18432164806882,6.86904462166127,130.63732392822615,16.005729842555663,16.379112155235674,,3.1106752774316035,2.149536491840027,4.4878726183828705,4055.651601488891
