,sector,camera,ccd,column,row,tdb-ut,pixels_per_hour,ra,dec,vmag,hmag,sun_distance,obs_distance,phase_angle,time
264,1751,2,3,1729.977589283153,1022.5043046269257,69.18439175200001,6.563623217931337,128.24902890281427,16.5030077993909,16.49511359997185,,3.190520130736214,2.216369641369848,2.940062454193886,4058.1508007451816
265,1751,2,3,1729.9655650112252,1024.1001591202444,69.184392075648,6.56280421379062,128.23964213116895,16.504848897038247,16.49557866235778,,3.190840277274138,2.2166458459162635,2.934089142815948,4058.160800745428
266,1751,2,3,1729.9534543993948,1025.6957090839057,69.18439240774401,6.56199045513543,128.2302562802773,16.506688864863463,16.49605278711829,,3.1911604297012683,2.2169221242622106,2.928117021296723,4058.170800745208
267,1751,2,3,1729.9412595824765,1027.2909590670565,69.184392745216,6.561182005627567,128.22087132757503,16.5085277202271,16.49653454070114,,3.19148058804533,2.217198476569209,2.9221462318055886,4058.1808007454542
268,1751,2,3,1729.9289826980134,1028.8859133197718,69.184393084992,6.560378929079912,128.2114872522461,16.51036548014712,16.497022489465163,,3.1918007522744127,2.2174749029473095,2.9161769176241847,4058.1908007452344
269,1751,2,3,1729.916625881768,1030.4805763873105,69.18439342399999,6.55958128915526,128.20210403172672,16.512202161983858,16.49751519985939,,3.1921209224162426,2.2177514035580463,2.9102092209221513,4058.2008007454806
270,1751,2,3,1729.9041912722591,1032.0749525160177,69.18439375916799,6.558789149665484,128.19272164520086,16.51403778275546,16.498011238241634,,3.1924410984389087,2.218027978511455,2.904243284980839,4058.2108007452607
271,1751,2,3,1729.8916810061971,1033.669046247289,69.18439408742401,6.5580025742744015,128.18334007010526,16.51587235982205,16.498509171061688,,3.1927612803701373,2.218304627969084,2.898279251970204,4058.220800745507
272,1751,2,3,1729.879097223086,1035.262861823729,69.184394405696,6.557221626792851,128.17395928562402,16.517705910201958,16.499007564676862,,3.1930814681780175,2.2185813520409554,2.8923172651712545,4058.230800745287
273,1751,2,3,1729.8664420605812,1036.8564037829433,69.184394710912,6.556446370885691,128.1645792691941,16.519538451255112,16.499504985537175,,3.1934016618902756,2.2188581508886314,2.8863574667543146,4058.240800745533
274,1751,2,3,1729.8537176591783,1038.449676363773,69.184395,6.55567687036271,128.1552,16.52137,16.5,,3.193721861475,2.21913502462212,2.8804,4058.2508007453125
275,1751,2,3,1729.8409256165342,1040.0426833208876,69.18439527091199,6.5549131930136095,128.14582145934696,16.523200569793843,16.500491481689906,,3.194042066945008,2.219411973397075,2.874444963027439,4058.260800745092
276,1751,2,3,1729.8280653644363,1041.6354255878734,69.18439552569599,6.554155422982588,128.1364436422648,16.52503015832452,16.500979533021482,,3.1943622783131196,2.2196889973970704,2.868492276640781,4058.270800745337
277,1751,2,3,1729.8151357950057,1043.227903170802,69.184395767424,6.55340364860792,128.12706654852423,16.526858759107036,16.50146456353886,,3.194682495547422,2.2199660967739536,2.86254181814684,4058.2808007451163
278,1751,2,3,1729.8021357980622,1044.8201163723165,69.18439599916799,6.552657958087299,128.11769017615006,16.5286863659971,16.501946982876824,,3.195002718675646,2.2202432717311793,2.856593463743858,4058.290800745361
279,1751,2,3,1729.7890642658724,1046.412065198625,69.184396224,6.551918439757874,128.10831452491297,16.530512972509882,16.502427200580026,,3.1953229476658778,2.2205205224205824,2.850647090738247,4058.3008007451404
280,1751,2,3,1729.7759200883838,1048.003749952411,69.18439644499199,6.55118518181848,128.09893959283795,16.5323385725009,16.5029056262828,,3.19564318254585,2.2207978490456313,2.8447025753286295,4058.310800745385
281,1751,2,3,1729.7627021580352,1049.5951706399287,69.18439666521598,6.550458272605108,128.08956537969615,16.53416315948549,16.503382669530176,,3.195963423283647,2.221075251758147,2.8387597948210592,4058.320800745164
282,1751,2,3,1729.7494093648859,1051.1863275639448,69.184396887744,6.549737800317768,128.08019188351253,16.535986727318978,16.5038587399562,,3.196283669907003,2.2213527307616134,2.832818625414493,4058.330800745409
283,1751,2,3,1729.7360406015252,1052.7772207308099,69.18439711564801,6.549023853291259,128.07081910405842,16.53780926951688,16.504334247106108,,3.196603922384001,2.221630286207834,2.8268789444146742,4058.340800745188
284,1751,2,3,1729.7225947581478,1054.3678504432744,69.184397352,6.548316519726798,128.0614470393593,16.53963077993431,16.504809600613793,,3.196924180742376,2.221907918300308,2.820940628020847,4058.350800745433
285,1751,2,3,1729.709070727495,1055.958216707841,69.18439759987199,6.547615887957964,128.0520756891864,16.54145125208698,16.50528521002459,,3.1972444449502104,2.2221856271908265,2.815003553538491,4058.360800745212
286,1751,2,3,1729.6954673998691,1057.54831982726,69.184397862336,6.546922046187211,128.04270505156566,16.54327067982977,16.505761484972382,,3.19756471503524,2.222463413082902,2.8090675971670906,4058.3708007454575
287,1751,2,3,1729.6817837160709,1059.1381598312855,69.184398142336,6.546235079386008,128.03333512619506,16.54508905697826,16.50623882220342,,3.1978849909655467,2.222741276129383,2.803132639676746,4058.380800745237
288,1751,2,3,1729.6680197158746,1060.7277375781402,69.18439843987201,6.545554995097677,128.02396590933958,16.54690638457913,16.506717324175938,,3.198205272768868,2.223019216559525,2.7971986404232947,4058.390800745483
289,1751,2,3,1729.654176543139,1062.3170541617615,69.184398752,6.544881723693292,128.01459739732186,16.548722670232813,16.50719679888233,,3.198525560413285,2.223297234575474,2.7912656395592736,4058.4008007452626
290,1751,2,3,1729.6402553870673,1063.9061109944885,69.184399075648,6.544215192057033,128.00522958464637,16.55053792217778,16.507677041605216,,3.198845853926539,2.2235753304322285,2.785333679596857,4058.410800745509
291,1751,2,3,1729.6262574394625,1065.4949091919398,69.18439940774401,6.5435553271978675,127.99586246756225,16.552352148314306,16.50815784753783,,3.1991661532767113,2.2238535043329932,2.7794028041532304,4058.420800745289
292,1751,2,3,1729.6121838895722,1067.083450164874,69.18439974521601,6.542902056001225,127.98649604057422,16.55416535688068,16.50863901196292,,3.1994864584915415,2.22413175653278,2.773473055740769,4058.430800745535
293,1751,2,3,1729.5980359292737,1068.6717350273739,69.18440008499202,6.542255305474834,127.97713029993179,16.55597755577734,16.509120330073642,,3.19980676953911,2.2244100872347787,2.767544477976451,4058.4408007453153
294,1751,2,3,1729.5838147478614,1070.259765188622,69.18440042400002,6.541615002505346,127.96776524013994,16.55778875324237,16.50960159715277,,3.200127086447159,2.224688496694017,2.7616171133728633,4058.4508007455615
295,1751,2,3,1729.5695215372787,1071.8475417612378,69.18440075916801,6.5409810740992835,127.9584008574481,16.559598957176387,16.510082608393464,,3.2004474091837674,2.2249669851136695,2.7556910055467636,4058.460800745342
296,1751,2,3,1729.5551574868666,1073.435066152799,69.18440108742402,6.54035344714449,127.94903714636176,16.561408175817288,16.51056315907847,,3.200767737776678,2.225245552748779,2.7497661970109712,4058.470800745588
297,1751,2,3,1729.5407237886445,1075.0223394744394,69.18440140569601,6.539732048646309,127.93967410313044,16.563216417065846,16.511043044401013,,3.2010880721939685,2.225524199802504,2.7438427313820033,4058.480800745368
298,1751,2,3,1729.5262216320027,1076.6093631321655,69.18440171091201,6.539116805493753,127.93031172225996,16.565023689159766,16.511522059643738,,3.201408412463384,2.225802926529902,2.737920651172925,4058.490800745614
299,1751,2,3,1729.511652209038,1078.1961382356174,69.184402,6.538507644691009,127.92095000000002,16.56683,16.512,,3.201728758553,2.22608173313412,2.732,4058.5008007453935
300,1751,2,3,1729.497016580222,1079.7826662707237,69.184402270912,6.537904527114082,127.91158893020832,16.568635357188025,16.5124767631002,,3.2020491104756448,2.226360619867657,2.726080805306144,4058.510800745173
301,1751,2,3,1729.4823152875235,1081.3689493440472,69.184402525696,6.537307549471743,127.90222850240534,16.57043976611725,16.512952656054914,,3.202369468244148,2.226639587024703,2.720163033150494,4058.5208007454185
302,1751,2,3,1729.4675487455831,1082.9549894950057,69.18440276742402,6.5367168425139175,127.89286870633542,16.57224323137706,16.513428088278353,,3.202689831826585,2.2269186348708927,2.7142466350728456,4058.5308007451977
303,1751,2,3,1729.4527173665772,1084.5407890577485,69.184402999168,6.536132536879933,127.88350952999888,16.57404575789283,16.513903469273348,,3.2030102012507022,2.22719776372383,2.708331561510851,4058.5408007454425
304,1751,2,3,1729.4378215657193,1086.1263500700938,69.184403224,6.535554763318542,127.87415096314005,16.5758473502541,16.514379208454173,,3.2033305764845768,2.2274769738491336,2.702417764004054,4058.5508007452213
305,1751,2,3,1729.4228617557287,1087.7116748644735,69.184403444992,6.534983652470274,127.86479299375968,16.57764801338608,16.514855715323684,,3.2036509575559555,2.2277562655644227,2.696505192990347,4058.560800745466
306,1751,2,3,1729.4078383524009,1089.2967654771144,69.184403665216,6.53441933508265,127.85543561160212,16.579447751878476,16.515333399296036,,3.203971344432914,2.2280356391353022,2.6905938000090415,4058.5708007452454
307,1751,2,3,1729.3927517690083,1090.88162423873,69.184403887744,6.533861941797455,127.84607880466858,16.5812465706563,16.51581266987428,,3.2042917371432,2.228315094879406,2.6846835354982552,4058.58080074549
308,1751,2,3,1729.37760242191,1092.466253184013,69.184404115648,6.533311603360932,127.83672256270313,16.58304447430942,16.51629393647231,,3.2046121356548865,2.228594633062322,2.6787743509970836,4058.590800745269
309,1751,2,3,1729.3623907249453,1094.050654641968,69.184404352,6.532768450416168,127.82736687370749,16.58484146776267,16.516777608593515,,3.204932539995725,2.2288742540017017,2.67286619694385,4058.600800745514
310,1751,2,3,1729.3471170950422,1095.6348306456828,69.18440459987198,6.532232613708079,127.81801172742593,16.586637555606085,16.517264095651374,,3.2052529501337865,2.2291539579631174,2.6669590248774555,4058.610800745293
311,1751,2,3,1729.3317819465856,1097.2187835225245,69.184404862336,6.5317042238811025,127.80865711186026,16.588432742764304,16.517753807149763,,3.2055733660968238,2.2294337452642337,2.6610527852364076,4058.6208007455384
312,1751,2,3,1729.3163856922838,1098.8025153070828,69.18440514233599,6.53118340733358,127.79930301673043,16.590227033803853,16.518247114115546,,3.2058937878529066,2.2297136161721642,2.6551474337675955,4058.630800745318
313,1751,2,3,1729.300928631559,1100.3860283997885,69.18440543987201,6.530670190426497,127.78994942944757,16.592020433081075,16.518743504787853,,3.2062142154297835,2.2299935710419008,2.649243021905689,4058.640800745564
314,1751,2,3,1729.2854109563104,1101.9693249769093,69.184405752,6.5301644996775075,127.7805963385988,16.593812944073736,16.5192415844344,,3.2065346487955164,2.2302736102120515,2.643339698973042,4058.650800745344
315,1751,2,3,1729.2698328510658,1103.5524075119633,69.184406075648,6.529666257164157,127.77124373100453,16.595604570569876,16.51973992002938,,3.2068550879778526,2.230553734074936,2.6374376174005034,4058.6608007455898
316,1751,2,3,1729.2541945035935,1105.135278182827,69.18440640774399,6.5291753850575,127.76189159522718,16.597395316023754,16.52023707845428,,3.207175532944851,2.230833942970701,2.6315369307183762,4058.67080074537
317,1751,2,3,1729.2384960990792,1106.7179394614093,69.18440674521601,6.528691805436465,127.75253991808745,16.599185184223227,16.520731626683197,,3.2074959837242596,2.231114237291683,2.625637791357755,4058.680800745616
318,1751,2,3,1729.222737825974,1108.3003935240602,69.184407084992,6.52821544047074,127.74318868814784,16.600974178622707,16.52122213159798,,3.207816440284138,2.231394617378012,2.6197403528486687,4058.6908007453967
319,1751,2,3,1729.2069198700997,1109.8826428411269,69.184407424,6.527746212240606,127.73383789222908,16.60276230300989,16.521707160172102,,3.2081369026522335,2.23167508362204,2.6138447676225143,4058.7008007456425
320,1751,2,3,1729.1910424205828,1111.4646895874444,69.184407759168,6.527284042914412,127.72448751889375,16.604549560839324,16.522185279288298,,3.2084573707966055,2.231955636363882,2.6079511892089897,4058.710800745423
321,1751,2,3,1729.1751056639227,1113.0465362317493,69.18440808742402,6.526828854573764,127.71513755496301,16.606335955898537,16.522655055918896,,3.2087778447450033,2.2322362759959047,2.6020597700398516,4058.720800745669
322,1751,2,3,1729.1591097899031,1114.6281849474,69.184408405696,6.526380569385702,127.70578798899933,16.608121491642233,16.52311505694804,,3.209098324465484,2.232517002858209,2.5961706636444104,4058.730800745449
323,1751,2,3,1729.143054985687,1116.2096382015523,69.18440871091201,6.525939109433122,127.69643880782415,16.609906171857773,16.523563849346374,,3.209418809985797,2.2327978173431755,2.5902840224548376,4058.7408007456947
324,1751,2,3,1729.1269414417352,1117.7908981660757,69.184409,6.525504396881791,127.68709,16.61169,16.524,,3.209739301274,2.23307871979089,2.5844,4058.7508007454744
325,1751,2,3,1729.1107696299161,1119.3719669781945,69.184409270912,6.525076365883239,127.67774155465504,16.613472981082637,16.524422689841693,,3.210059798342919,2.2333597105951304,2.5785186808710434,4058.760800745254
326,1751,2,3,1729.0945411554246,1120.952845755301,69.184409525696,6.524654998780617,127.66839346840266,16.615255125357393,16.52483355573657,,3.2103803012053835,2.23364079020756,2.572639877198393,4058.7708007454994
327,1751,2,3,1729.0782579089555,1122.5335351384442,69.18440976742401,6.524240290023381,127.65904574103348,16.617036444136566,16.52523484847635,,3.210700809829447,2.233921959055041,2.56676333381837,4058.7808007452786
